LSOA_CODE,AvgPrice,MeanPTAL,MedianPTAL,Population,Area_km2,MeanSentiment,SentimentSD,ReviewCount,NearestStation_m,StationsWithin500m,NearestRail_m,StreetLength_m,StreetDensity_m_per_m2,StreetSegments,LandUse_Diversity,LandUse_Area
E01004693,1654654.0,27.328222666769584,27.196894878357757,1673.0,0.08180006555679616,0.744,0.14535476939302727,80.0,174.4756177042066,30,48.642199525952144,1754.3014115916465,0.0214567106937979,28,2,9524.027674547917
E01004694,1220000.0,35.16284828001154,33.507884934929926,1692.0,0.10245717887501296,0.6232900796954745,0.13110845401517904,1152.0477293607785,104.65628772560436,17,143.87054920963584,2037.9261389606174,0.019908505658459103,30,3,15935.463425625923
E01004695,746250.0,24.426161486078644,26.68373075846757,1600.0,0.05617863645432826,0.565,0.114,591.0,56.35085528335756,20,143.034875593249,1017.4184902187712,0.018108528399054694,16,2,40718.45271469382
E01004696,500250.0,39.6102799777264,38.91777417405837,1615.0,0.06674687638485635,0.5943053472348897,0.08807947101356314,3436.5265298919358,79.14422507876458,23,263.47734665724005,695.2132705371206,0.010416503724310714,17,3,55675.89402173598
E01004697,1047500.0,42.00067731220839,42.08467123299776,1691.0,0.05550316551644943,0.6179008744191595,0.12138422854976341,20636.729055026848,254.99652399997646,27,232.86730916416198,1066.3778534485537,0.01921238666069914,27,2,14801.488814433813
E01004698,850000.0,33.21397965893617,34.60241270236111,1623.0,0.09345366631880016,0.509,0.10823963980198853,2.0,99.54792310539615,24,63.73224821019935,1423.109747882045,0.015213198932824213,22,2,55869.03954263816
E01004699,665000.0,30.132728506779607,28.571960969548165,1610.0,0.11665497337642847,0.5789151702572569,0.14649224716600726,16807.30089283288,68.48888837128715,27,210.49735483439477,2258.224582780387,0.019350880167342117,43,2,46508.92020257828
E01004700,1250000.0,40.2321270879823,39.63340623676599,1635.0,0.0575231979424264,0.624,0.082,433.0,303.9132204811204,31,76.83237085196997,1121.5916483890667,0.019498243547862806,22,0,0.0
E01004701,1150000.0,17.547304016083444,16.391269801075172,1698.0,0.07921653428463835,0.5130199816289505,0.08349999999999999,430.4174459186377,125.17354464068984,20,895.9548790917343,1103.485527481825,0.0139297498587238,13,3,81952.04975815024
E01004702,1069650.0,34.590880022130776,34.71206658619529,1988.0,0.1641984233082824,0.632,0.148,251.0,172.1619597815356,23,378.0269994289133,1898.5449777756742,0.011562356527639067,25,4,95337.19178981785
E01004703,1418750.0,28.806360192262098,28.602222584837797,1633.0,0.20781296540533425,0.496,0.06046487782234154,75.0,198.17892980124836,17,490.5263839805834,3191.2508321208215,0.015356339020677356,44,4,137460.6391298453
E01004705,1200000.0,16.45308120032995,15.721795982343476,1614.0,0.068365224287815,0.5375931442239655,0.09670146729119844,329.78368013771455,62.28568837775807,20,756.6895053882956,1017.2740794632837,0.014879823482309543,16,2,64538.60536411243
E01004706,819000.0,13.78433386228461,13.189881936794931,1642.0,0.1395021603030365,0.683,0.13955124174920383,2314.0,245.50428638868263,16,615.5720333065416,953.686881575645,0.006836436074765411,16,6,154000.1356832068
E01004707,975000.0,13.109134202961505,13.239046229619651,1943.0,0.12894418799686666,0.5559792201855893,0.0903567286397293,164.45176803540477,223.08633449049609,11,841.0916060684976,1509.7358877412644,0.011708179633436133,14,2,86905.42996135785
E01004708,550000.0,16.318848786803382,15.028928954201312,1629.0,0.08115144389384209,0.5618325219075182,0.13544716432887,57.5913366739162,158.0952373605798,16,722.2709513896747,962.2001004170934,0.011856610342743231,15,4,72316.75201050017
E01004709,900000.0,16.739902527631518,16.856208530211262,1734.0,0.08882859141408475,0.5853662755154442,0.11484348155938104,52.11782096693834,89.27763489783383,12,780.126415957261,1374.1498809124887,0.015469987514770198,20,3,69240.90584678229
E01004710,470000.0,21.565405297892028,21.904355106238217,1637.0,0.1288474693914055,0.6557157082377114,0.19639508724627847,47.20914963838526,111.97796265482016,19,181.71036545971546,1473.5289654878534,0.011472615664650548,20,6,62977.08952212312
E01004711,550000.0,18.44285907395605,18.877697021530768,1842.0,0.07899875088302703,0.640750328774042,0.18655200441748457,93.56861292585252,113.18931042908693,10,447.0288940883952,766.4022722097972,0.009651644497328514,13,4,48193.74877086311
E01004712,1033000.0,60.14925758856937,60.11286443601016,1498.0,0.10039308044513831,0.664,0.052,276.0,71.3535405337466,25,183.2799392791886,2505.6267582586406,0.02495798753533472,54,4,12038.372073951501
E01004713,1675000.0,49.725045554850915,49.386914843582275,1595.0,0.17392053492396406,0.678,0.041,757.0,186.96339405736995,13,362.0227685635956,3585.755178073318,0.02061712030820016,77,2,17774.739478538693
E01004714,1160000.0,60.02736878043968,60.18684304645031,1607.0,0.33980933952176096,0.727,0.067,9298.0,227.81285761573892,21,337.8967556769539,7512.956452047254,0.022109290315543765,137,4,91897.11954695248
