LSOA,Avg_Sentiment_Score,Place_Count,Sentiment_Std,Most_Common_Category,Avg_Rating,Total_Reviews
E01003193,0.603,3,0.077,Neutral,4.3,5548
E01003194,0.714,2,0.127,Positive,4.65,439
E01003196,0.576,4,0.178,Neutral,3.35,229
E01003197,0.534,1,,Neutral,4.8,12
E01003198,0.576,2,0.005,Neutral,4.4,40
E01003199,0.564,1,,Neutral,4.4,109
E01003200,0.699,2,0.0,Positive,4.6,4496
E01003203,0.401,1,,Negative,4.3,8
E01003207,0.675,1,,Positive,4.9,23
E01003210,0.675,1,,Positive,4.1,122
E01003214,0.538,2,0.037,Neutral,4.1,73
E01003216,0.569,2,0.017,Neutral,3.65,5
E01003217,0.573,1,,Neutral,4.8,12
E01003219,0.0,1,,Very Negative,5.0,1
E01003220,0.524,1,,Neutral,4.8,18
E01003221,0.48,8,0.235,Negative,3.962,611
E01003222,0.582,2,0.194,Negative,4.5,41
E01003223,0.625,3,0.041,Positive,3.5,23
E01003224,0.659,3,0.118,Neutral,4.1,22
E01003226,0.642,2,0.15,Neutral,3.9,49
E01003228,0.577,1,,Neutral,4.4,53
E01003229,0.597,1,,Neutral,4.0,6
E01003230,0.625,1,,Positive,4.6,943
E01003231,0.819,1,,Very Positive,5.0,22
E01003236,0.495,2,0.001,Negative,4.3,68
E01003254,0.703,2,0.004,Positive,4.6,17526
E01003255,0.64,1,,Positive,3.7,71
E01003256,0.686,1,,Positive,4.3,84
E01003262,0.62,1,,Positive,4.4,5
E01003263,0.496,3,0.078,Negative,4.5,100
E01003269,0.611,2,0.02,Neutral,4.3,8
E01003276,0.496,1,,Negative,4.2,52
E01003283,0.665,1,,Positive,4.6,1388
E01003285,0.769,1,,Very Positive,4.9,173
E01003286,0.647,3,0.148,Very Positive,3.867,84
E01003288,0.644,1,,Positive,4.1,414
E01003290,0.619,1,,Positive,5.0,1
E01003291,0.671,4,0.101,Positive,3.7,448
E01003292,0.644,1,,Positive,2.3,16
E01003295,0.59,2,0.007,Neutral,4.6,113
E01003296,0.511,5,0.144,Neutral,2.8,189
E01003312,0.665,1,,Positive,4.6,47
E01003313,0.301,2,0.426,Positive,4.5,58
E01003317,0.61,3,0.057,Positive,4.0,1690
E01003318,0.569,7,0.27,Positive,3.4,840
E01003319,0.398,4,0.356,Very Negative,4.225,90
E01003320,0.372,6,0.296,Neutral,4.05,1767
E01003321,0.694,4,0.178,Very Positive,3.975,184
E01003322,0.683,3,0.098,Neutral,3.867,297
E01003323,0.62,1,,Positive,5.0,28
E01003324,0.763,2,0.038,Very Positive,4.05,438
E01003325,0.424,5,0.283,Neutral,4.06,43
E01003346,0.608,4,0.153,Negative,4.4,98
E01003348,0.586,1,,Neutral,4.5,438
E01003350,0.551,1,,Neutral,4.2,13
E01003351,0.592,1,,Neutral,5.0,2
E01003352,0.662,2,0.008,Positive,4.0,36
E01003354,0.535,1,,Neutral,4.0,2
E01003460,0.427,2,0.006,Negative,5.0,6
E01003464,0.64,4,0.08,Neutral,4.7,28796
E01003473,0.62,4,0.01,Positive,4.5,1124
E01003474,0.51,2,0.004,Neutral,4.5,44
E01003481,0.0,1,,Very Negative,3.0,1
E01003497,0.49,1,,Negative,4.2,34
E01003500,0.497,1,,Negative,4.5,2
E01003515,0.669,6,0.125,Very Positive,4.2,84015
E01003517,0.0,2,0.0,Very Negative,4.3,8
E01003525,0.678,1,,Positive,4.5,53
E01003526,0.661,1,,Positive,4.4,2073
E01003538,0.418,2,0.01,Negative,4.7,30
E01003593,0.711,1,,Very Positive,4.0,60
E01003609,0.648,4,0.028,Positive,4.3,2639
E01003617,0.572,2,0.002,Neutral,4.2,48804
E01003799,0.682,2,0.011,Positive,4.6,6563
E01003852,0.521,3,0.122,Neutral,4.6,39
E01003913,0.548,1,,Neutral,3.7,140
E01003921,0.25,1,,Very Negative,4.0,1
E01003923,0.613,1,,Positive,4.4,77
E01003927,0.572,3,0.05,Neutral,4.433,576
E01003929,0.629,17,0.142,Positive,4.376,19121
E01003932,0.586,2,0.001,Neutral,3.55,27
E01003933,0.619,5,0.038,Positive,4.72,115953
E01003935,0.512,5,0.034,Negative,4.06,72
E01003936,0.602,4,0.054,Neutral,4.1,326
E01003937,0.819,1,,Very Positive,4.9,1371
E01003938,0.578,3,0.043,Neutral,4.367,547
E01003939,0.502,9,0.214,Neutral,4.578,374
E01003940,0.821,1,,Very Positive,4.8,17
E01003941,0.327,2,0.462,Positive,4.7,16
E01003945,0.603,2,0.012,Neutral,4.4,56
E01003964,0.737,2,0.002,Very Positive,4.8,38
E01003978,0.644,3,0.007,Positive,4.4,2370
E01003979,0.758,1,,Very Positive,4.0,4
E01003981,0.625,19,0.084,Positive,4.295,62050
E01004002,0.596,3,0.144,Negative,4.867,165
E01004013,0.564,1,,Neutral,4.8,4
E01004016,0.555,1,,Neutral,4.2,33
E01004017,0.364,6,0.297,Negative,4.717,359
E01004020,0.466,2,0.001,Negative,1.0,2
E01004024,0.0,2,0.0,Very Negative,3.3,6
E01004027,0.567,9,0.013,Neutral,4.478,42613
E01004030,0.542,1,,Neutral,4.2,845
E01004032,0.552,3,0.013,Neutral,4.6,84
E01004033,0.706,5,0.103,Very Positive,4.88,27
E01004035,0.766,3,0.005,Very Positive,4.6,14025
E01004048,0.626,1,,Positive,4.5,41
E01004054,0.281,5,0.385,Very Negative,4.24,136
E01004056,0.629,1,,Positive,4.4,126
E01004058,0.552,1,,Neutral,4.6,305
E01004062,0.622,2,0.002,Positive,3.95,215
E01004063,0.525,1,,Neutral,3.6,105
E01004065,0.587,2,0.021,Neutral,5.0,6
E01004066,0.617,1,,Positive,5.0,4
E01004069,0.563,2,0.001,Neutral,4.0,8
E01004070,0.749,1,,Very Positive,4.4,134
E01004074,0.601,1,,Positive,4.4,16
E01004197,0.723,2,0.191,Neutral,4.85,50
E01004199,0.702,1,,Very Positive,4.3,89
E01004200,0.698,1,,Positive,3.4,7
E01004207,0.455,3,0.077,Negative,2.967,142
E01004208,0.622,3,0.077,Neutral,4.2,579
E01004209,0.557,1,,Neutral,4.4,521
E01004215,0.604,4,0.067,Neutral,4.1,1053
E01004217,0.475,3,0.232,Very Negative,4.533,3695
E01004219,0.426,4,0.288,Neutral,4.45,131
E01004221,0.49,1,,Negative,3.6,35
E01004223,0.437,16,0.262,Neutral,4.675,372
E01004224,0.673,1,,Positive,4.8,44
E01004225,0.666,2,0.045,Positive,4.0,649
E01004229,0.0,3,0.0,Very Negative,5.0,3
E01004231,0.56,1,,Neutral,3.7,19
E01004232,0.569,1,,Neutral,4.5,75
E01004234,0.618,12,0.084,Neutral,4.817,63568
E01004238,0.523,1,,Neutral,3.9,76
E01004239,0.757,1,,Very Positive,3.0,10
E01004240,0.0,1,,Very Negative,5.0,1
E01004242,0.647,2,0.181,Neutral,4.6,82
E01004243,0.685,3,0.264,Neutral,4.033,18
E01004244,0.366,5,0.342,Neutral,4.14,59
E01004246,0.514,4,0.063,Neutral,4.075,65
E01004247,0.565,4,0.077,Neutral,3.9,6313
E01004248,0.527,2,0.084,Negative,4.55,24
E01004249,0.622,3,0.085,Neutral,3.867,734
E01004250,0.52,1,,Neutral,4.5,6
E01004253,0.554,7,0.128,Negative,4.457,1240
E01004254,0.626,4,0.089,Neutral,4.4,412
E01004255,0.677,2,0.016,Positive,3.6,67
E01004256,0.446,3,0.388,Positive,4.367,154
E01004257,0.395,5,0.364,Very Negative,4.18,482
E01004259,0.652,6,0.052,Positive,4.5,10690
E01004261,0.534,7,0.071,Negative,4.343,714
E01004262,0.596,5,0.0,Neutral,5.0,10
E01004267,0.699,4,0.007,Positive,4.7,732
E01004268,0.0,1,,Very Negative,5.0,3
E01004269,0.348,9,0.338,Very Negative,4.489,533
E01004270,0.738,2,0.119,Positive,2.7,303
E01004271,0.65,1,,Positive,5.0,10
E01004272,0.513,5,0.294,Positive,4.42,86
E01004273,0.589,2,0.003,Neutral,4.35,605
E01004277,0.579,19,0.219,Positive,4.247,20140
E01004281,0.519,1,,Neutral,5.0,14
E01004285,0.572,1,,Neutral,4.6,138
